storm_name,datetime,longitude_t,latitude_t,wind_speed_t,wind_direction_t,pressure_t,humidity_t,sea_surface_temp_t,month,longitude_t+1,latitude_t+1
Katrina,2005-08-23 00:00:00,-49.27966043,6.604009535,195.6429361,74.30436465,971.7324117,80.38610388,29.2492391,8,-49.28930947,6.356196837
Katrina,2005-08-23 01:00:00,-49.28930947,6.356196837,121.9517116,127.2445732,950.0367646,99.04040597,28.88578444,8,-49.23614023,5.964336356
Katrina,2005-08-23 02:00:00,-49.23614023,5.964336356,95.31431338,182.120552,1006.814397,77.70183735,26.23243394,8,-49.2052642,5.479086357
Katrina,2005-08-23 03:00:00,-49.2052642,5.479086357,175.8157037,288.8442537,968.0685312,79.3597379,31.04876026,8,-48.94052639,5.61107195
Katrina,2005-08-23 04:00:00,-48.94052639,5.61107195,177.8743852,203.0108972,909.4693119,82.72974186,27.3287654,8,-49.25060855,6.055158296
Katrina,2005-08-23 05:00:00,-49.25060855,6.055158296,219.3616662,356.3078994,940.5329542,74.12029825,31.02162365,8,-48.97593119,6.003279893
Katrina,2005-08-23 06:00:00,-48.97593119,6.003279893,190.3121862,317.8342446,920.6158378,98.52493538,30.03050095,8,-48.95481926,6.190658557
Katrina,2005-08-23 07:00:00,-48.95481926,6.190658557,122.3303571,189.9325013,986.5473858,66.14132729,26.65261917,8,-48.86138191,6.321580706
Katrina,2005-08-23 08:00:00,-48.86138191,6.321580706,180.7443374,208.4895389,925.5998189,89.76490964,27.41719693,8,-48.44428666,6.102386842
Katrina,2005-08-23 09:00:00,-48.44428666,6.102386842,231.2700203,108.5448329,931.2096461,80.86622193,30.97837861,8,-48.14712691,6.537499967
Katrina,2005-08-23 10:00:00,-48.14712691,6.537499967,163.2372408,247.4506226,913.536823,96.63428661,31.60242217,8,-47.85659072,6.100021191
Katrina,2005-08-23 11:00:00,-47.85659072,6.100021191,157.843982,4.358857568,949.2636161,69.13545176,31.23203354,8,-47.58694611,6.146161013
Katrina,2005-08-23 12:00:00,-47.58694611,6.146161013,179.4025219,51.21137224,951.3230971,97.32762248,30.90240545,8,-47.09917587,6.605882044
Katrina,2005-08-23 13:00:00,-47.09917587,6.605882044,103.6709997,327.9165933,907.9879496,62.57383581,30.61557398,8,-47.38920072,6.295883082
